,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE
0,Suede,Brooks,TikTok Star, Nevada ,21,Aquarius,February,8,2001,3862,
1,Sueco,Child,Rapper,United States,25,Aquarius,January,28,1997,11073,
2,Sue,Zimmerman,Instagram Star,United States,59,Virgo,September,6,1962,202542,
3,Sue,Williamson,Photographer,England,81,Aquarius,January,21,1941,209401,
4,Sue,Vertue,TV Producer,England,61,Virgo,September,21,1960,198156,
5,Sue,Upton,TV Actress,Essex,67,Scorpio,November,9,1954,215853,
6,Sue,Tsai,Painter,United States,35,Aquarius,January,27,1987,180515,
7,Sue,Townsend,Playwright,England,,Aries,April,2,1946,145623,Apr 10
8,Sue,Thomas,Memoirist, Ohio ,71,Gemini,May,24,1950,69315,
9,Sue,Naing,Movie Actress,Myanmar,24,Sagittarius,December,13,1997,199212,
10,Sue,Rose,Cartoonist,Topeka,67,Cancer,July,2,1954,77463,
11,Sue,Rose,YouTube Star,Germany,27,Taurus,May,18,1995,19983,
12,Sue,Raney,Jazz Singer, California ,81,Gemini,June,18,1940,193813,
13,Sue,Ramirez,TV Actress,Manila,25,Cancer,July,20,1996,27578,
14,Sue,Radford,Reality Star,Lancashire,47,Aries,March,22,1975,17275,
15,Sue,Perkins,Comedian,London,52,Virgo,September,22,1969,31546,
16,Sue,Nicholls,Soap Opera Actress,England,78,Sagittarius,November,23,1943,52729,
17,Sue,Lyon,Movie Actress,Davenport,,Cancer,July,10,1946,66966,Dec 26
18,Sue,Lee,Sportscaster, New York ,36,Virgo,September,3,1985,94578,
19,Sue,Lasmar,Model,Brasilia,36,Gemini,May,24,1985,139964,
20,Sue,Langdon,Movie Actress,Paterson,86,Pisces,March,8,1936,136349,
21,Sue,Kidd,Playwright, GA ,73,Leo,August,12,1948,147456,
22,Sue,Johnston,TV Actress,England,78,Sagittarius,December,7,1943,85174,
23,Sue,Johanson,TV Show Host,Canada,92,Pisces,March,16,1930,179672,
24,Sue,Holderness,TV Actress,England,72,Gemini,May,28,1949,96100,
25,Sue,Hendrickson,Paleontologist,Chicago,72,Sagittarius,December,2,1949,101362,
26,Sue,Grafton,Novelist,Louisville,,Taurus,April,24,1940,26100,Dec 28
27,Sue,Gardner,Journalist,Canada,55,Taurus,May,11,1967,163369,
28,Sue,Foley,Blues Singer,Canada,54,Aries,March,29,1968,153204,
29,Sue,Cook,TV Show Host,England,73,Aries,March,30,1949,155811,
30,Sue,Cleaver,Soap Opera Actress,England,58,Virgo,September,2,1963,82146,
31,Sue,Chang,YouTube Star,South Korea,31,Cancer,June,22,1990,183734,
32,Sue,Carol,Movie Actress,Chicago,,Scorpio,October,30,1906,168689,Feb 4
33,Sue,Bryce,Photographer,New Zealand,50,Gemini,June,4,1971,189127,
34,Sue,Barker,Sportscaster,England,66,Aries,April,19,1956,66064,
35,Subodh,Mukherjee,Director,India,,Aries,April,14,1921,214230,May 21
36,Sudirman,Tahir,Instagram Star,Malaysia,36,Scorpio,October,30,1985,219744,
37,Sudirman,Arshad,Pop Singer,Temerloh,,Gemini,May,25,1954,114115,Feb 22
38,Sudipto,Chatterjee,Playwright,India,57,Leo,July,26,1964,157640,
39,Sudigali,Sudheer,Movie Actor,India,35,Taurus,May,19,1987,128734,
40,Sudi,Silalahi,Politician,Indonesia,,Cancer,July,13,1949,117994,Oct 25
41,Sudhir,Shivaram,Photographer,India,49,Sagittarius,December,13,1972,164758,
42,Sudhir,Naik,Cricket Player,India,77,Pisces,February,21,1945,199577,
43,Sudhir,Chaudhary,Journalist,India,47,Gemini,June,18,1974,187379,
44,Sudheer,Babu,Movie Actor,India,42,Taurus,May,11,1980,163493,
45,Sudhanshu,Pandey,Movie Actor,India,47,Leo,August,22,1974,217511,
46,Sudhamoy,Pramanick,Politician,India,,Virgo,September,11,1884,219861,Oct 2
47,Sudhakar,Rao,Cricket Player,India,69,Leo,August,8,1952,181959,
48,Sudha,Murty,Business Executive,India,71,Leo,August,19,1950,87392,
49,Sudesh,Lehri,Comedian,India,53,Scorpio,October,27,1968,172456,
50,Sudesh,Berry,TV Actor,India,61,Cancer,July,20,1960,210271,
51,Sudeepa,Singh,TV Actress,Amritsar,33,Gemini,May,26,1988,139235,
52,Sudeep,Sudeep,Movie Actor,India,48,Virgo,September,2,1973,49909,
53,Sude,Ozcan,TikTok Star,Turkey,19,Cancer,July,1,2002,153651,
54,Sude,Kutukcuoglu,Instagram Star,Turkey,20,Cancer,July,17,2001,211371,
55,Sude,Cinar,YouTube Star,Turkey,27,Taurus,April,22,1995,84932,
56,Sude,Alkis,YouTube Star,Izmir,24,Cancer,July,8,1997,73142,
57,Sude,Alkan,Instagram Star,England,24,Virgo,September,14,1997,54717,
58,Sudan,Williams,Rapper,Richmond,32,Scorpio,November,16,1989,21247,
59,Suda,Suda,YouTube Star,Canada,26,Scorpio,October,24,1995,16113,
60,SuchSpeed,SuchSpeed,YouTube Star,England,23,Leo,August,18,1998,4208,
61,Suchitra,Sen,TV Actress,India,,Aries,April,6,1931,137007,Jan 17
62,Suchitra,Mitra,World Music Singer,India,,Virgo,September,19,1924,189330,Jan 3
63,Sucheta,Kriplani,Civil Rights Leader,India,,Cancer,June,25,1908,186365,Dec 1
64,Succubusbabe,Succubusbabe,TikTok Star,United States,28,Aquarius,February,3,1994,153387,
65,successful_den,successful_den,TikTok Star,Russia,20,Sagittarius,December,19,2001,95106,
66,Success,Jr.,Comedian,United States,34,Sagittarius,December,3,1987,11791,
67,succabuz,succabuz,TikTok Star,United States,16,Virgo,September,16,2005,29926,
68,SubZeroExtabyte,SubZeroExtabyte,YouTube Star,England,24,Pisces,March,17,1998,3602,
69,Subu,Trenzz,TikTok Star,Mumbai,22,Cancer,July,19,1999,217189,
70,Subtronics,Subtronics,DJ,Philadelphia,29,Capricorn,December,23,1992,61131,
71,Subtrist,Subtrist,YouTube Star,Kansas City,20,Virgo,September,5,2001,9564,
72,Subhaan,Ashrafi,YouTube Star, Illinois ,28,Scorpio,November,8,1993,40741,
73,Substantial,Substantial,Rapper, Maryland ,43,Capricorn,January,7,1979,181321,
74,Subroza,Subroza,Twitch Star,Morocco,24,Cancer,July,6,1997,64498,
75,Subroto,Bagchi,Entrepreneur,India,64,Gemini,May,31,1957,190936,
76,SubRico,SubRico,YouTube Star,Memphis,,,,,,124402,
77,Subrata,Roy,Entrepreneur,India,73,Gemini,June,10,1948,193694,
78,Subrata,Paul,Soccer Player,India,35,Sagittarius,November,24,1986,184214,
79,Subrata,Pal,Soccer Player,Kolkata,35,Sagittarius,November,24,1986,213038,
80,Subramanya,Bharathi,Poet,India,,Sagittarius,December,11,1882,148607,Sep 11
