,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE
0,Ashlyn,Guy,Instagram Star,United States,33,Pisces,March,15,1989,215491,
1,Ashlyn,Gross,TikTok Star, Arkansas ,15,Cancer,July,9,2006,19693,
2,Ashlyn,Coray,Model,Antioch,29,Aries,April,10,1993,147906,
3,Ashlyn,Castro,Instagram Star,Long Beach,24,Sagittarius,December,17,1997,24391,
4,Ashlyn,Casalegno,Movie Actress,United States,14,Leo,August,17,2007,81892,
5,Ashlyn,Buchi,Stylist,United States,32,Virgo,September,21,1989,197773,
6,Ashlyn,Boots,TV Actress, Pennsylvania ,18,Scorpio,November,21,2003,145375,
7,Ashlye,Silva,TikTok Star,United States,21,Capricorn,December,22,2000,44592,
8,Ashlye,Kyle,YouTube Star,United States,37,Leo,August,21,1984,150941,
9,Ashly,Williams,R&B Singer,Compton,33,Capricorn,January,15,1989,72791,
10,Ashly,Smith,Instagram Star,Barstow,23,Libra,October,8,1998,95658,
11,Ashly,Schwan,Instagram Star, California ,25,Aries,April,16,1997,6889,
12,Ashly,Perez,YouTube Star, California ,32,Cancer,July,8,1989,9934,
13,Ashly,Chan,YouTube Star,Taiwan,31,Capricorn,January,13,1991,163722,
14,Ashly,Burch,YouTube Star, Arizona ,31,Gemini,June,19,1990,26807,
15,Ashlund,Jade,YouTube Star, Utah ,19,Aquarius,February,16,2003,4615,
16,Ashlinn,Gray,Songwriter,South Africa,25,Aries,March,25,1997,214041,
17,Ashlie9596,Ashlie9596,YouTube Star,United States,25,Sagittarius,November,26,1996,26846,
18,Ashlie,Walker,Family Member, California ,45,Gemini,June,15,1976,86206,
19,Ashlie,Walker,TV Actress,England,38,Aries,April,5,1984,125089,
20,Ashlie,Holbrook,YouTube Star,Gainesville,35,Aquarius,February,13,1987,65622,
21,Ashlie,Brillault,TV Actress,San Francisco,35,Gemini,May,21,1987,44861,
22,Ashlie,Atkinson,Stage Actress, Arkansas ,44,Leo,August,6,1977,170648,
23,Ashli,Tolli,Fitness Instructor,Suffern,37,Scorpio,November,2,1984,148936,
24,Ashli,Evans,Family Member,United States,28,Sagittarius,December,17,1993,175800,
25,Ashli,Korver,Family Member,United States,29,Libra,October,3,1992,93708,
26,Ashli,Adams,TV Actress,Port Hueneme,30,Virgo,September,6,1991,119509,
27,ashleyyylreyyy,ashleyyylreyyy,TikTok Star,United States,23,Cancer,July,6,1998,74181,
28,ashleyyrasmussen,ashleyyrasmussen,TikTok Star,United States,22,Gemini,May,31,1999,218674,
29,AshleyTheUnicorn,AshleyTheUnicorn,YouTube Star, Georgia ,22,Aries,April,6,2000,3926,
30,AshleyTheSharkSlayer,AshleyTheSharkSlayer,TikTok Star,United States,22,Pisces,March,6,2000,100409,
31,AshleyShiee,AshleyShiee,Instagram Star,United States,25,Libra,September,30,1996,88067,
32,ashleysessence,ashleysessence,TikTok Star,United States,35,Sagittarius,December,3,1986,175581,
33,AshleyRoboto,AshleyRoboto,Twitch Star,Canada,26,Aquarius,January,26,1996,109244,
34,Ashleyosity,Ashleyosity,YouTube Star, Texas ,27,Cancer,July,1,1994,7443,
35,AshleyOA,AshleyOA,YouTube Star,France,28,Aries,March,31,1994,126201,
36,ashleyntay,ashleyntay,TikTok Star,United States,22,Virgo,September,12,1999,101673,
37,ashleybythesea,ashleybythesea,TikTok Star,Phoenix,36,Aquarius,February,12,1986,88908,
38,Ashley0233,Ashley0233,TikTok Star,Phoenix,18,Scorpio,October,29,2003,44332,
39,Ashley,Zukerman,TV Actor,Santa Monica,38,Capricorn,December,30,1983,18551,
40,Ashley,Zuber,TikTok Star,Canada,20,Leo,July,23,2001,78672,
41,Ashley,Zee,Instagram Star, Ohio ,28,Capricorn,January,9,1994,145148,
42,Ashley,Zeal,Blogger, California ,35,Leo,August,7,1986,205764,
43,Ashley,Zamora,TV Actress, Texas ,25,Cancer,June,25,1996,152414,
44,Ashley,Lady,Instagram Star,United States,30,Aquarius,February,18,1992,104543,
45,Ashley,Young,Soccer Player,Stevenage,36,Cancer,July,9,1985,30110,
46,Ashley,Yoder,Martial Artist,Indianapolis,34,Taurus,May,12,1988,123727,
47,Ashley,Yi,TikTok Star,Torrance,28,Sagittarius,December,9,1993,21249,
48,Ashley,Yap,Instagram Star,Philippines,26,Taurus,May,15,1996,123325,
49,Ashley,Xu,TikTok Star,United States,20,Aquarius,February,11,2002,140759,
50,Ashley,Wylde,YouTube Star, Virginia ,30,Taurus,April,22,1992,119953,
51,Ashley,Wright,Instagram Star,United States,36,Scorpio,October,27,1985,167427,
52,Ashley,Wirkus,Reality Star, California ,33,Libra,October,16,1988,130937,
53,Ashley,Wineland,Country Singer, Arizona ,24,Aries,March,30,1998,173133,
54,Ashley,Wilson,Cheerleader, Texas ,24,Taurus,May,17,1998,39007,
55,Ashley,Wilson,Blogger,United States,37,Aries,April,7,1985,108242,
56,Ashley,Williams,TV Actress, New York ,43,Scorpio,November,12,1978,30408,
57,Ashley,Williams,Soccer Player,Wolverhampton,37,Virgo,August,23,1984,78948,
58,Ashley,Williams,Movie Actress,Boston,38,Aquarius,January,24,1984,147623,
59,Ashley,Williams,TV Actress,Dallas,23,Leo,August,20,1998,75863,
60,Ashley,Williams,YouTube Star,United States,35,Aries,April,8,1987,97709,
61,Ashley,Wicka,YouTube Star,United States,19,Gemini,June,13,2002,12557,
62,Ashley,Weston,Fashion Designer,United States,34,Cancer,July,20,1987,91766,
63,Ashley,Weatherspoon,Blogger,United States,35,Aquarius,January,22,1987,199256,
64,Ashley,Ward,Soccer Player,England,51,Sagittarius,November,24,1970,84814,
65,Ashley,Walters,Rapper,England,39,Cancer,June,30,1982,19553,
66,Ashley,Walker,Basketball Player, California ,35,Pisces,February,24,1987,99044,
67,Ashley,Wagner,Figure Skater,Heidelberg,31,Taurus,May,16,1991,27303,
68,Ashley,Wagner,YouTube Star,United States,31,Libra,October,22,1990,98400,
69,Ashley,Vlaz,TikTok Star,Fremont,42,Aries,March,30,1980,164857,
70,Ashley,Vincent,Soccer Player,England,36,Gemini,May,26,1985,179286,
71,Ashley,Vickers,Model,Fort Pierce,34,Cancer,June,21,1987,116204,
72,Ashley,Vee,Instagram Star, California ,35,Capricorn,January,12,1987,43512,
73,Ashley,Valero,TikTok Star, New York ,21,Aquarius,February,6,2001,35728,
