,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE
0,Kevin,Porter,Basketball Player, Illinois ,72,Aries,April,17,1950,79589,
1,Kevin,Jr.,Basketball Player,Seattle,22,Taurus,May,4,2000,28114,
2,Kevin,Poon,Entrepreneur,Hong Kong,38,Aries,April,16,1984,166178,
3,Kevin,Pollak,Movie Actor,San Francisco,64,Scorpio,October,30,1957,68657,
4,Kevin,Krust,YouTube Star,Chicago,25,Taurus,May,2,1997,170604,
5,Kevin,Plawecki,Baseball Player,Hinsdale,31,Pisces,February,26,1991,142066,
6,Kevin,Plank,Entrepreneur, Maryland ,49,Leo,August,13,1972,71030,
7,Kevin,Pillar,Baseball Player,Los Angeles,33,Capricorn,January,4,1989,33981,
8,Kevin,Pilkington,Soccer Player,Hitchin,48,Pisces,March,8,1974,203955,
9,Kevin,Pietersen,Cricket Player,Pietermaritzburg,41,Cancer,June,27,1980,62528,
10,Kevin,Pierre-Louis,Football Player,Norwalk,30,Libra,October,7,1991,170970,
11,Kevin,Phillips,Soccer Player,England,48,Leo,July,25,1973,110988,
12,Kevin,Phillips,Movie Actor,Staten Island,40,Sagittarius,December,11,1981,124792,
13,Kiwix,Kiwix,YouTube Star,Prague,21,Scorpio,October,25,2000,120247,
14,Kevin,Perez,Skateboarder,United States,31,Libra,October,13,1990,24523,
15,Kevin,Jr,TikTok Star,United States,18,Aquarius,February,10,2004,11761,
16,Kevin,Pereira,TV Show Host,Antioch,39,Capricorn,December,28,1982,50592,
17,Kevin,Peraza,BMX Rider,Tucson,27,Virgo,September,2,1994,142010,
18,Kevin,Pearce,Snowboarder,Hanover,34,Scorpio,November,1,1987,84779,
19,Kevin,Payne,Soccer Player, New York ,69,Pisces,March,5,1953,173762,
20,Kevin,Parry,Animator,Canada,35,Capricorn,January,8,1987,13752,
21,Kevin,Parker,Rock Singer,Sydney,36,Aquarius,January,20,1986,10856,
22,Kevin,Paredes,Soccer Player, Virginia ,19,Taurus,May,7,2003,89216,
23,Kevin,Paradox,YouTube Star,Netherlands,29,Cancer,July,10,1992,127807,
24,Kevin,Paquette,YouTube Star,United States,20,Taurus,May,9,2002,67817,
25,Kevin,Pangos,Basketball Player,Canada,29,Aquarius,January,26,1993,96315,
26,Kevin,Pabel,Model,Germany,32,Leo,August,14,1989,154324,
27,Kevin,Otten,Bassist, Kentucky ,29,Aquarius,February,14,1993,85840,
28,Kevin,Ortiz,Pop Singer,Pasadena,26,Virgo,September,18,1995,22052,
29,Kevin,Olusola,Pop Singer,Owensboro,33,Libra,October,5,1988,7990,
30,Kevin,Ollie,Basketball Player,Dallas,49,Capricorn,December,27,1972,145595,
31,Kevin,O'Leary,Entrepreneur,Montreal,67,Cancer,July,9,1954,19006,
32,Kevin,O'Hare,Dancer,England,56,Virgo,September,13,1965,202085,
33,Kevin,Ogletree,Football Player, New York ,34,Leo,August,5,1987,212003,
34,Kevin,O'Connor,Movie Actor, Illinois ,58,Scorpio,November,15,1963,109117,
35,Kevin,O'Connor,Journalist,United States,31,Leo,July,27,1990,184393,
36,Kevin,Nolan,Soccer Player,England,39,Cancer,June,24,1982,90245,
37,Kevin,Nisbet,Soccer Player,Glasgow,25,Pisces,March,8,1997,117642,
38,Kevin,Ninh,YouTube Star,Kirkland,26,Taurus,May,6,1996,12541,
39,Kevin,Nether,YouTube Star,United States,34,Virgo,September,9,1987,162627,
40,Kevin,Nealon,Comedian,St. Louis,68,Scorpio,November,18,1953,30748,
41,Kevin,Nash,Wrestler,Detroit,62,Cancer,July,9,1959,13442,
42,Kevin,Narvaez,Reality Star,United States,29,Virgo,September,15,1992,202828,
43,Kevin,Nanney,eSports Player,Raleigh,31,Libra,September,25,1990,76978,
44,Kevin,Nalts,YouTube Star,New Orleans,53,Taurus,May,12,1969,116970,
45,Kevin,Na,Golfer,Seoul,38,Virgo,September,15,1983,106218,
46,Kevin,Muscat,Soccer Player,England,48,Leo,August,7,1973,103254,
47,Kevin,Murphy,Puppeteer, Illinois ,65,Scorpio,November,3,1956,55975,
48,Kevin,Munroe,Screenwriter,Canada,50,Taurus,April,30,1972,195186,
49,Kevin,Morris,YouTube Star,Blytheville,57,Virgo,September,21,1964,156312,
50,Kevin,Moore,Pianist,Long Island,54,Gemini,May,26,1967,120075,
51,Kevin,Montgomery,Hockey Player,Rochester,34,Aries,April,4,1988,204994,
52,Kevin,Monroy,TikTok Star,Mexico,21,Aquarius,February,9,2001,62697,
53,Kevin,Molino,Soccer Player,Trinidad And Tobago,31,Gemini,June,17,1990,80032,
54,Kevin,Mitnick,,Los Angeles,58,Leo,August,6,1963,69562,
55,Kevin,Mitchell,Baseball Player,San Diego,60,Capricorn,January,13,1962,113826,
56,Kevin,Miranda,TV Actor,France,35,Aries,March,28,1987,179088,
57,Kevin,Mirallas,Soccer Player,Liege,34,Libra,October,5,1987,82240,
58,Kevin,Minter,Football Player, Georgia ,31,Sagittarius,December,3,1990,186868,
59,Kevin,Millwood,Baseball Player,Gastonia,47,Capricorn,December,24,1974,181028,
60,Kevin,Miller,Voice Actor,Minot,44,Sagittarius,December,21,1977,71052,
61,Kevin,Millar,Baseball Player,Los Angeles,50,Libra,September,24,1971,112845,
62,Kevin,Miles,TV Actor,United States,31,Cancer,July,5,1990,26885,
63,Kevin,Michael,Pop Singer,Chester,36,Libra,October,22,1985,74383,
64,Kevin-Michael,Richardson,Voice Actor,The Bronx,57,Scorpio,October,25,1964,32252,
65,Kevin,Meyer,Rock Singer,United States,29,Pisces,March,13,1993,89165,
66,Kevin,Meneses,TikTok Star,United States,31,Libra,October,12,1990,125478,
67,Kevin,McReynolds,Baseball Player, Arkansas ,62,Libra,October,16,1959,199958,
68,Kevin,McNamara,TV Actor,Detroit,42,Libra,October,11,1979,35619,
69,Kevin,McNally,TV Actor,England,66,Taurus,April,27,1956,81830,
70,Kevin,McKidd,TV Actor,Scotland,48,Leo,August,9,1973,7352,
71,TobyMac,TobyMac,Rapper,Fairfax,57,Libra,October,22,1964,4502,
72,Kevin,McHale,TV Actor,Plano,33,Gemini,June,14,1988,7751,
73,Kevin,McGuire,Drummer,Prescott,28,Libra,October,6,1993,173262,
74,Kevin,McGarry,TV Actor,Canada,37,Pisces,March,19,1985,30968,
75,Kevin,McFarlane,YouTube Star, Washington ,26,Pisces,February,22,1996,76238,
76,Kevin,McDonald,Comedian,Montreal,61,Taurus,May,16,1961,37693,
77,Kevin,McDonald,Soccer Player,Scotland,33,Scorpio,November,4,1988,191781,
78,Kevin,McCullough,Radio Host, New York ,52,Aries,March,25,1970,98943,
79,Kevin,McCloud,TV Show Host,England,63,Taurus,May,8,1959,64280,
80,Kevin,McClintock,Teacher,San Diego,29,Leo,August,22,1992,63894,
81,Kevin,McClatchy,Entrepreneur,Sacramento,59,Capricorn,January,13,1963,195553,
82,Kevin,McCarty,TikTok Star, Michigan ,38,Libra,September,29,1983,49397,
83,Kevin,McCarthy,Politician,Bakersfield,57,Aquarius,January,26,1965,44782,
84,Kevin,McCall,Rapper,Los Angeles,36,Leo,July,25,1985,27093,
85,Kevin,McBride,Boxer,Ireland,49,Taurus,May,5,1973,107561,
86,Kevin,Mbabu,Soccer Player,United States,27,Aries,April,19,1995,166980,
87,Kevin,Maynard,Screenwriter, California ,42,Aquarius,January,31,1980,187978,
88,Kevin,Maya,Photographer, Georgia ,23,Capricorn,January,17,1999,51190,
89,Kevin,May,TikTok Star,Atlanta,22,Pisces,March,19,2000,190908,
90,Kevin,Max,Rock Singer,Grand Rapids,54,Leo,August,17,1967,102548,
91,Kevin,Massey,Stage Actor, North Carolina ,37,Aries,March,24,1985,130860,
92,Kevin,Martin,Basketball Player,Zanesville,39,Aquarius,February,1,1983,58200,
93,Kevin,Martin,Reality Star,Canada,29,Capricorn,January,3,1993,53930,
94,Kevin,13,Rapper,Chile,,Libra,September,28,2000,181430,Jan 11
95,Kevin,Manno,Radio Host,United States,38,Cancer,June,29,1983,76563,
96,Kevin,Mann,Rapper,"Washington, DC",46,Pisces,February,27,1976,60463,
97,Kevin,Maida,Guitarist,Chicago,30,Aries,April,1,1992,128107,
98,Kevin,Maher,Choreographer,Los Angeles,43,Capricorn,December,24,1978,141755,
99,Kevin,Maguire,Comic Book Artist,Kearny,61,Virgo,September,9,1960,109873,
100,Kevin,Magnussen,Race Car Driver,Roskilde,29,Libra,October,5,1992,18940,
101,Kevin,Macri,Instagram Star,Uruguay,24,Cancer,July,5,1997,136323,
102,Kevin,MacLeod,Composer,Green Bay,49,Libra,September,28,1972,13113,
103,Kevin,Mack,Football Player, North Carolina ,59,Leo,August,9,1962,152471,
104,Kevin,MacDonald,Director,Scotland,54,Scorpio,October,28,1967,145639,
105,Kevin,Lyttle,World Music Singer,United States,45,Virgo,September,14,1976,40695,
106,Kevin,Lyman,Entrepreneur,Pomona,61,Aries,April,5,1961,132622,
107,Kevin,Lutolf,Model,Switzerland,24,Capricorn,December,28,1997,104638,
108,Kevin,Lustgarten,Instagram Star,Caracas,26,Virgo,September,6,1995,206995,
109,Kevin,Lu,Instagram Star,United States,41,Taurus,May,10,1981,98988,
110,Kevin,Love,Basketball Player,Santa Monica,33,Virgo,September,7,1988,8025,
111,Kevin,Loughery,Basketball Coach, New York ,82,Aries,March,28,1940,212640,
112,Kevin,Long,Baseball Manager, Arizona ,55,Capricorn,December,30,1966,144297,
113,Kevin,Long,Skateboarder,United States,37,Leo,August,6,1984,134856,
114,Kevin,Lo,Instagram Star,United States,30,Capricorn,January,5,1992,137660,
115,Kevin,Liu,TikTok Star,Canada,25,Libra,September,25,1996,36316,
116,Kevin,Lilliana,Model,Bandung,26,Capricorn,January,5,1996,136148,
117,Kevin,Lieber,YouTube Star, New York ,38,Virgo,September,21,1983,30059,
118,Leyes,Leyes,Rapper,Buenos Aires,21,Gemini,June,16,2000,159946,
119,Kevin,Levrone,Bodybuilder,Baltimore,57,Cancer,July,16,1964,152297,
120,Kevin,Lescout,Instagram Star,Spain,21,Capricorn,December,24,2000,165467,
121,Kevin,Lepage,Race Car Driver, VT ,59,Cancer,June,26,1962,113198,
122,Kevin,Leiser,Twitter Star,Los Angeles,29,Leo,July,23,1992,62153,
123,Kevin,Lee,Sportscaster,Indianapolis,51,Aries,April,9,1971,56297,
124,Kevin,Lee,MMA Fighter,Detroit,29,Virgo,September,4,1992,55207,
125,Kevin,Lee,Comedian,"Washington, DC",56,Sagittarius,November,22,1965,144334,
126,Kevin,Lee,Music Producer, Georgia ,51,Virgo,September,12,1970,133421,
127,Kevin,LeahandKevin,TikTok Star,United States,21,Aquarius,February,11,2001,135496,
128,Kevin,Lazan,Family Member,United States,41,Sagittarius,December,12,1980,110238,
129,Kevin,Lawson,TikTok Star,United States,41,Leo,July,26,1980,74336,
130,Kevin,Lavell,YouTube Star, Illinois ,25,Capricorn,January,18,1997,66962,
131,Kevin,Laue,Basketball Player,San Jose,32,Aries,April,13,1990,132716,
132,Kevin,Laroy,Tattoo Artist, Texas ,35,Capricorn,December,25,1986,65907,
133,Kevin,Langue,YouTube Star,Paris,28,Cancer,June,23,1993,4945,
134,Kevin,Langeree,Surfer,Netherlands,33,Cancer,July,21,1988,174058,
135,Kevin,Kwan,Novelist,Singapore,48,Scorpio,November,8,1973,108423,
136,Kevin,Kuske,Bobsledder,Germany,43,Capricorn,January,4,1979,201606,
137,Kevin,Kruse,Teacher, Missouri ,49,Gemini,June,8,1972,222863,
138,Kevin,Kreider,Reality Star,Seoul,38,Leo,August,21,1983,8813,
139,Kevin,Kregel,Astronaut, New York ,65,Virgo,September,16,1956,205303,
140,Kevin,Kramer,Screenwriter, Ohio ,45,Virgo,August,24,1976,147792,
141,Kevin,Kowalski,Football Player, Ohio ,33,Capricorn,January,2,1989,201913,
142,Kevin,Kouzmanoff,Baseball Player, California ,40,Leo,July,25,1981,206012,
143,Kevin,Kostelnik,YouTube Star,United States,38,Capricorn,January,10,1984,65681,
144,Kevin,Kolb,Football Player,Victoria,37,Virgo,August,24,1984,139220,
145,Kevin,Knutsen,Pop Singer,Norway,22,Libra,September,30,1999,191072,
146,Kevin,Knox,Basketball Player,Phoenix,22,Leo,August,11,1999,47296,
147,Kevin,Kline,Movie Actor,St. Louis,74,Scorpio,October,24,1947,24911,
148,Kevin,Kleinberg,TV Actor,Los Angeles,38,Gemini,June,6,1983,86452,
149,Kevin,Klein,Hockey Player,Kitchener,37,Sagittarius,December,13,1984,101713,
150,Kevin,Kisner,Golfer,Aiken,38,Aquarius,February,15,1984,155387,
151,Kevin,Kimmel,TV Actor, Arizona ,28,Virgo,September,19,1993,79342,
152,Kevin,Kim,Instagram Star,United States,33,Virgo,September,5,1988,137244,
153,Kevin,Kilner,TV Actor,Baltimore,64,Taurus,May,3,1958,65768,
154,Kevin,Kilbane,Soccer Player,England,45,Aquarius,February,1,1977,90195,
155,Kevin,Kiermaier,Baseball Player,Fort Wayne,32,Taurus,April,22,1990,30389,
156,Kevin,Kern,Pianist, Michigan ,63,Capricorn,December,22,1958,179018,
157,Kevin,Kenson,YouTube Star,United States,34,Pisces,March,5,1988,61881,
158,Kevin,Kennon,Architect,Palos Verdes,63,Cancer,July,12,1958,193162,
159,Kevin,Kenner,Pianist, California ,59,Taurus,May,19,1963,214857,
160,Kevin,Kennedy,Soap Opera Actor,England,60,Virgo,September,4,1961,138570,
161,Kevinkempt,Kevinkempt,Music Producer,United States,16,Sagittarius,December,16,2005,52357,
162,Kevin,Kelley,Boxer,Brooklyn,54,Cancer,June,29,1967,148308,
163,Kevin,Keegan,Soccer Player,England,71,Aquarius,February,14,1951,61017,
164,Kevin,Kampl,Soccer Player,Solingen,31,Libra,October,9,1990,138420,
165,Kevin,Kaine,Drummer, Kentucky ,26,Virgo,August,25,1995,94932,
166,Kevin,Kahuni,Pop Singer,Surabaya,15,Virgo,September,2,2006,151089,
167,Kevin,Kaarl,Folk Singer,Chihuahua,22,Taurus,May,15,2000,10569,
168,Kevin,Jung,Instagram Star,Salt Lake City,25,Virgo,September,12,1996,68592,
169,Kevin,Julio,TV Actor,Jakarta,28,Leo,July,28,1993,136371,
170,Kevin,Jubinville,TV Actor,Kingston,55,Taurus,April,28,1967,180713,
171,Kevin,Jorgeson,Rock Climber, California ,37,Libra,October,7,1984,152118,
172,Kevin,Jordan,Baseball Player,San Francisco,52,Libra,October,9,1969,162819,
173,Kevin,Jordan,Rock Singer,Scottsdale,33,Virgo,August,27,1988,127373,
174,Kevin,Jordan,Bodybuilder,United States,41,Cancer,June,29,1980,219006,
175,Kevin,Jones,YouTube Star,Indianapolis,22,Aries,April,8,2000,29923,
176,Kevin,Jonas,Guitarist,Teaneck,34,Scorpio,November,5,1987,1553,
177,Kevin,Johnson,Basketball Player,Sacramento,56,Pisces,March,4,1966,54998,
178,Kevin,Johansen,Rock Singer,Fairbanks,57,Cancer,June,21,1964,141283,
179,Kevin,Jasinski,TikTok Star, Alabama ,16,Libra,October,13,2005,46191,
180,Kevin,Janssens,TV Actor,Antwerp,42,Leo,August,21,1979,166369,
181,Kevin,James,Movie Actor,Long Island,57,Taurus,April,26,1965,3454,
182,Kevin,Jackson,Dancer,Perth,38,Gemini,May,21,1984,83621,
183,Kevin,Jackson,Reggae Singer,Kingston,57,Sagittarius,November,30,1964,161299,
184,Kevin,Iole,Journalist,Pittsburgh,62,Libra,October,4,1959,154396,
185,Kevin,Hwang,Rapper,South Korea,29,Taurus,May,1,1993,68753,
186,Kevin,Hunter,Family Member,United States,49,Virgo,September,17,1972,55783,
187,Kevin,Jr.,Family Member,United States,21,Leo,August,18,2000,83927,
188,Kevin,Huerter,Basketball Player,Albany,23,Virgo,August,27,1998,42075,
189,Kevin,Hu,YouTube Star,Canada,19,Cancer,June,28,2002,168060,
190,Kevin,Howell,Martial Artist,Huntington Beach,44,Libra,October,7,1977,158527,
191,Kevin,Hooks,TV Actor,Philadelphia,63,Virgo,September,19,1958,157448,
192,Kevin,Holland,MMA Fighter,Riverside,29,Scorpio,November,5,1992,139244,
193,Kevin,Hodge,YouTube Star, Virginia ,46,Virgo,September,17,1975,14891,
194,Kevin,Hines,Self-Help Author,United States,40,Virgo,August,30,1981,48922,
195,Kevin,Hillman,TikTok Star,Long Island,22,Taurus,May,8,2000,54070,
196,Kevin,Hernández,Soccer Player,Honduras,36,Sagittarius,December,21,1985,80395,
197,Kevin,Hernández,Movie Actor,El Salvador,25,Pisces,March,20,1997,38257,
198,Kevin,Henry,Football Player, MS ,53,Scorpio,October,23,1968,156835,
199,Kevin,Henkes,Children's Author,Racine,61,Sagittarius,November,27,1960,70554,
200,Kevin,Hendrawan,TV Show Host,Indonesia,29,Cancer,June,21,1992,106707,
201,Kevin,Hench,Screenwriter, Vermont ,45,Pisces,March,18,1977,168248,
202,Kevin,Helle,TikTok Star,Japan,22,Cancer,July,16,1999,58254,
203,Kevin,Heffernan,Movie Actor,West Haven,53,Gemini,May,28,1968,88679,
204,Kevin,Hearn,Pianist,Grimsby,52,Cancer,July,3,1969,125911,
205,Kevin,Hays,Pianist,New York City,54,Taurus,May,1,1968,103792,
206,Kevin,Hayes,Hockey Player,Boston,30,Taurus,May,8,1992,52140,
207,Kevin,Hayes,Reality Star, New Jersey ,26,Taurus,May,3,1996,78849,
208,Kevin,Hatcher,Hockey Player, Michigan ,55,Virgo,September,9,1966,117374,
209,Kevin,Haskins,Drummer,England,61,Cancer,July,19,1960,180416,
210,Kevin,Harvick,Race Car Driver,Bakersfield,46,Sagittarius,December,8,1975,24882,
211,Kevin,Hartman,Soccer Player,Athens,47,Gemini,May,25,1974,93126,
212,Kevin,Hart,Comedian,Philadelphia,42,Cancer,July,6,1979,267,
213,Kevin,Harris,Skateboarder,Canada,59,Leo,August,14,1962,73820,
214,Kevin,Harrington,Entrepreneur,Cincinnati,65,Libra,October,15,1956,79838,
215,Kevin,Harlan,Sportscaster,Milwaukee,61,Cancer,June,21,1960,77541,
216,Kevin,Hanson,Guitarist,United States,30,Scorpio,November,14,1991,182670,
217,Kevin,Hall,Movie Actor,Pittsburgh,,Taurus,May,9,1955,57216,Apr 10
218,Kevin,Haberer,Film Producer, Texas ,40,Gemini,May,27,1981,210761,
219,Kevin,Guthrie,Movie Actor,Scotland,34,Aries,March,22,1988,63892,
220,Kevin,Guedj,Reality Star,France,32,Libra,September,23,1989,65248,
221,Kevin,Guastella,TikTok Star,Turin,19,Taurus,May,3,2003,120755,
222,Kevin,Gruft,Guitarist,Albany,34,Taurus,May,5,1988,65265,
223,Kevin,Grosskreutz,Soccer Player,Dortmund,33,Cancer,July,19,1988,183064,
224,Kevin,Großkreutz,Soccer Player,Germany,33,Cancer,July,19,1988,214954,
225,Kevin,Grimmett,Bassist,United States,26,Scorpio,November,2,1995,168585,
226,Kevin,Griffin,Guitarist,New Orleans,53,Libra,October,1,1968,83681,
