,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE
77,Trea,Landon,Country Singer, Georgia ,28,Sagittarius,November,22,1993,87911,
78,Tre4sfav,Tre4sfav,Instagram Star,United States,22,Aquarius,February,14,2000,92959,
79,Tre,Ward,R&B Singer,Dallas,25,Pisces,March,17,1997,144476,
80,Tre'Von,Johnson,Football Player, Missouri ,27,Aquarius,February,10,1995,18112,
81,Tre,Thornton,Family Member,Memphis,7,Gemini,June,20,2014,93085,
82,Tre,Stylez,Reality Star,United States,36,Libra,September,27,1985,186075,
83,Tre,Stuckey,YouTube Star, Michigan ,29,Aries,March,23,1993,89246,
84,Tre,Samuels,Model,Australia,23,Aries,April,12,1999,110107,
85,Tre,Porter,Comedian,United States,24,Gemini,June,17,1997,170211,
86,Tre,Beat,Music Producer,United States,24,Scorpio,November,4,1997,172530,
87,Tre,Nubb,Instagram Star,United States,29,Taurus,April,27,1993,66945,
88,Tre,Melvin,YouTube Star,Dayton,29,Scorpio,October,28,1992,7430,
89,Tre,Mason,Football Player, New York ,28,Leo,August,6,1993,77601,
90,Tre,Mann,Basketball Player,Gainesville,21,Aquarius,February,3,2001,84255,
91,Tre,Jones,Basketball Player,Apple Valley,22,Capricorn,January,8,2000,35909,
92,Tre,Johns,TikTok Star,United States,19,Aquarius,January,24,2003,50299,
93,Tre,Jackson,Football Player,Jesup,29,Sagittarius,December,14,1992,43299,
94,Tre,Haynes,Reality Star, Missouri ,23,Pisces,March,2,1999,84750,
95,Tre,Good,YouTube Star, Arkansas ,30,Sagittarius,November,29,1991,20341,
96,Tre,Farland,TikTok Star,Minneapolis,19,Cancer,June,28,2002,134076,
97,Tre,Rego,Dancer, California ,19,Scorpio,November,3,2002,14899,
98,Tre'Davious,White,Football Player,Shreveport,27,Capricorn,January,16,1995,53987,
99,Tre,Kid,Rapper,United States,,Aries,April,17,1987,138145,Jun 8
100,Tre,Cool,Drummer,Frankfurt,49,Sagittarius,December,9,1972,9036,
101,Tre,Coast,Pop Singer, North Carolina ,24,Pisces,March,2,1998,38806,
102,Tre,Clements,TikTok Star,United States,21,Scorpio,November,11,2000,31725,
103,Tre,Carter,Rapper, California ,28,Cancer,July,8,1993,11061,
104,Tre,Buggs,R&B Singer,Houston,24,Libra,October,3,1997,173927,
105,Tre,Brooks,TikTok Star,Detroit,20,Capricorn,January,13,2002,2068,
106,Tre,Boston,Football Player,Fort Myers,29,Cancer,June,25,1992,122956,
107,Tre,Armstrong,Dancer,Canada,43,Leo,August,17,1978,45927,
108,Tre’Von,Waters,R&B Singer, VA ,25,Cancer,July,14,1996,63298,
109,traziarae,traziarae,TikTok Star,United States,27,Aquarius,January,31,1995,65910,
110,Trayvon,Vert,Instagram Star,Canada,23,Aries,April,7,1999,4886,
111,Trayvon,Martin,,Miami,,Aquarius,February,5,1995,7173,Feb 26
112,Trayvon,Bromell,Runner,St. Petersburg,26,Cancer,July,10,1995,98836,
113,Traylor,Howard,TV Actress,Orlando,55,Gemini,June,14,1966,54168,
114,Trayce,Thompson,Baseball Player, California ,31,Pisces,March,15,1991,54689,
115,Tray,Williams,TikTok Star, Texas ,19,Libra,September,25,2002,6455,
116,Tray,Walker,Football Player,Miami,,Leo,August,5,1992,78792,Mar 18
117,Tray,Savage,Rapper,Chicago,,Cancer,July,4,1993,33656,Jun 19
118,Tray,Samuels,R&B Singer,Dallas,28,Scorpio,November,18,1993,131837,
119,Tray,Rush,YouTube Star,Toronto,33,Pisces,February,19,1989,4432,
120,Tray,Little,Rapper,Detroit,27,Gemini,June,17,1994,10731,
121,Tray,Deee,Rapper,Natchez,56,Taurus,April,27,1966,87693,
122,Tray,Bills,Rapper,Atlanta,26,Virgo,August,25,1995,2530,
123,Tray,313,YouTube Star,Detroit,24,Scorpio,October,28,1997,56157,
124,Traxamillion,Traxamillion,Music Producer, California ,,Pisces,February,26,1979,71548,Jan 2
125,TravQue,TravQue,Instagram Star,Brooklyn,33,Pisces,March,6,1989,56152,
126,Travon,Walker,Football Player,Thomaston,21,Sagittarius,December,18,2000,46599,
127,Travon,Free,Comedian,Compton,37,Aries,March,30,1985,68945,
128,travolivee,travolivee,TikTok Star,United States,,Aries,March,28,,93296,
129,Travmbb,Travmbb,Rapper,Queens,31,Leo,August,13,1990,44431,
130,Travis,Zip,Instagram Star,Los Angeles,21,Sagittarius,December,12,2000,37638,
131,Travis,Zajac,Hockey Player,Canada,37,Taurus,May,13,1985,105719,
132,Travis,Wood,Baseball Player,Little Rock,35,Aquarius,February,6,1987,142622,
133,Travis,Wong,Stunt Double,United States,36,Sagittarius,December,17,1985,190697,
134,Travis,Jr.,TV Actor,United States,16,Aries,April,16,2006,25870,
135,Travis,Wiuff,MMA Fighter,Owatonna,44,Pisces,March,15,1978,203899,
136,Travis,Winfrey,TV Actor,United States,41,Aries,April,15,1981,61877,
137,Travis,Willingham,Voice Actor,Dallas,40,Leo,August,3,1981,25905,
138,Travis,Williams,Football Player,El Dorado,,Capricorn,January,14,1946,137211,Feb 17
139,Travis,White,Blogger,Sugar Land,32,Taurus,April,21,1990,138734,
140,Travis,Wester,Movie Actor,United States,44,Libra,October,8,1977,83844,
141,Travis,Wear,Basketball Player, California ,31,Virgo,September,21,1990,133235,
142,Travis,Walton,,United States,69,Aquarius,February,10,1953,60905,
143,Travis,Wall,Dancer,Virginia Beach,34,Virgo,September,16,1987,16643,
144,Travis,Walker,Boxer, Florida ,42,Cancer,June,22,1979,187471,
145,Travis,Wade,Movie Actor,Los Angeles,46,Libra,September,27,1975,150957,
146,Travis,Varcoe,Australian Rules Footballer,Australia,34,Aries,April,10,1988,139192,
147,Travis,Winkle,Movie Actor,Victorville,39,Scorpio,November,4,1982,35473,
148,Travis,Turner,TV Actor,Canada,35,Taurus,May,9,1987,11789,
149,Travis,Tritt,Country Singer,Marietta,59,Aquarius,February,9,1963,27584,
150,Travis,Trice,Basketball Player,Springfield,29,Aquarius,January,22,1993,149454,
151,Travis,Tope,Movie Actor, Texas ,30,Scorpio,November,11,1991,65716,
152,Travis,Thompson,Rapper,United States,25,Libra,September,24,1996,59683,
153,Travis,Tedford,Movie Actor,Rockwall,33,Leo,August,19,1988,27302,
154,Travis,Taylor,Engineer, Alabama ,53,Leo,July,24,1968,120056,
155,Travis,Talbott,YouTube Star,Santa Cruz,39,Gemini,May,23,1982,7932,
156,Travis,Stork,TV Show Host,Fort Collins,50,Pisces,March,9,1972,39465,
157,Travis,Stever,Guitarist, New York ,43,Sagittarius,November,25,1978,164964,
158,Travis,Stevens,Martial Artist,Tacoma,36,Pisces,February,28,1986,90015,
159,Travis,Jr.,Family Member, Florida ,9,Pisces,February,21,2013,197738,
160,Travis,Snider,Baseball Player,Everett,34,Aquarius,February,2,1988,146316,
161,Tavis,Smith,TikTok Star,United States,22,Virgo,September,17,1999,103779,
162,Travis,Shaw,Baseball Player, OH ,32,Aries,April,16,1990,70196,
163,Travis,Scott,Rapper,Houston,31,Taurus,April,30,1991,142,
164,Travis,Schuldt,TV Actor,Topeka,47,Virgo,September,18,1974,99488,
165,Travis,Sanheim,Hockey Player,Canada,26,Aries,March,29,1996,172705,
166,Travis,Rush,Country Singer, California ,51,Capricorn,January,15,1971,110671,
167,Travis,Rudolph,Football Player,West Palm Beach,26,Virgo,September,15,1995,106409,
168,Travis,Roy,Memoirist, Maine ,,Aries,April,17,1975,102932,Oct 29
169,Travis,Rosen,Reality Star,Franklin,47,Leo,August,10,1974,78232,
170,Travis,Riker,TikTok Star,United States,20,Gemini,May,31,2001,22404,
171,Travis,Richter,Music Producer,Albany,40,Scorpio,November,3,1981,145103,
172,Travis,Rice,Snowboarder,Jackson,39,Libra,October,9,1982,94716,
173,Travis,Price,Illustrator,Australia,35,Virgo,September,16,1986,147281,
174,Travis,Price,TikTok Star,Edinburgh,29,Libra,September,27,1992,154737,
175,Travis,Payne,Dancer,Atlanta,50,Cancer,July,5,1971,40277,
176,Travis,Pastrana,Motorcycle Racer,Annapolis,38,Libra,October,8,1983,14411,
177,Travis,Outlaw,Basketball Player, Mississippi ,37,Virgo,September,18,1984,164968,
178,Travis,Nelson,Movie Actor,United States,31,Virgo,September,8,1990,87706,
179,Travis,Milne,TV Actor,Canada,35,Cancer,July,18,1986,71013,
180,Travis,Miller,Music Producer,Richmond,38,Taurus,May,13,1984,45197,
181,Travis,Mendes,R&B Singer,Brooklyn,33,Capricorn,December,28,1988,104184,
182,Travis,Meeks,Rock Singer, Indiana ,43,Taurus,April,27,1979,118819,
183,Travis,McElroy,Podcast Host, West Virginia ,38,Scorpio,November,8,1983,66231,
184,Travis,Marsh,Music Producer,Mission Hills,31,Virgo,August,30,1990,141781,
185,Travis,Maldonado,Family Member, California ,,Aries,March,22,1994,65972,Oct 6
186,Travis,Lutter,MMA Fighter, South Carolina ,49,Taurus,May,12,1973,214852,
187,Travis,Lunardi,Reality Star,Sydney,32,Aquarius,February,1,1990,180830,
188,Travis,Lulay,Football Player, OR ,38,Libra,September,27,1983,162023,
189,Travis,Louie,Painter,Queens,57,Virgo,August,23,1964,200438,
190,Travis,Long,Instagram Star,United States,23,Libra,September,28,1998,141700,
191,Travis,Lee,Baseball Player, California ,46,Gemini,May,26,1975,145056,
192,Travis,Labranch,Family Member,Houston,32,Gemini,June,18,1989,108126,
193,Travis,Kvapil,Race Car Driver, WI ,46,Pisces,March,1,1976,143487,
194,Travis,Kelce,Football Player,Cleveland Heights,32,Libra,October,5,1989,6159,
195,Travis,Kauffman,Boxer, Pennsylvania ,36,Leo,August,21,1985,189415,
196,Travis,Kalanick,Entrepreneur,Los Angeles,45,Leo,August,6,1976,105712,
197,Travis,Jensen,Photographer,United States,43,Aquarius,February,6,1979,150022,
198,Travis,Jeffery,TV Actor,Melbourne,33,Aries,April,12,1989,174293,
199,Travis,Ishikawa,Baseball Player,Seattle,38,Libra,September,24,1983,155594,
200,Travis,Wonderland,YouTube Star,Philippines,4,Scorpio,October,24,2017,26632,
201,Travis,Hunter,Football Player,United States,19,Taurus,May,18,2003,13709,
202,Travis,Hunnie,Drummer,Winnipeg,25,Taurus,April,20,1997,139190,
203,Travis,Hollman,Reality Star,United States,53,Taurus,May,4,1969,84254,
204,Travis,Head,Cricket Player,Adelaide,28,Capricorn,December,29,1993,97732,
205,Travis,Hawley,Rock Singer,United Arab Emirates,34,Libra,October,20,1987,102491,
206,Travis,Hamonic,Hockey Player,Canada,31,Leo,August,16,1990,132182,
207,Travis,Haley,Bassist, OH ,51,Cancer,July,14,1970,54436,
208,Travis,Hafner,Baseball Player,Jamestown,44,Gemini,June,3,1977,131985,
209,Travis,Greene,Gospel Singer, Delaware ,38,Capricorn,January,17,1984,28739,
210,Travis,Green,Hockey Player,Canada,51,Sagittarius,December,20,1970,91551,
211,Travis,Gibson,TikTok Star, Texas ,19,Cancer,July,1,2002,67911,
212,Travis,Gerrits,Skier,Canada,30,Libra,October,19,1991,193633,
213,Travis,Garland,Pop Singer,Lubbock,32,Leo,July,26,1989,47627,
214,Travis,Fulgham,Football Player,Alexandria,26,Virgo,September,13,1995,134421,
215,Travis,Fryman,Baseball Player, Kentucky ,53,Aries,March,25,1969,177292,
216,Travis,Frederick,Football Player, WI ,31,Pisces,March,18,1991,103479,
