,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE
0,Vinheteiro,Vinheteiro,YouTube Star,Sao Paulo,42,Aquarius,January,22,1980,26583,
1,Fabricio,Alvarado,World Music Singer,Costa Rica,47,Gemini,May,30,1974,200349,
2,Fabrice,Sopoglian,Film Producer,France,46,Leo,July,31,1975,190998,
3,Fabrice,Olinga,Soccer Player,Douala,26,Taurus,May,12,1996,208315,
4,Fabrice,Muamba,Soccer Player,Kinshasa,34,Aries,April,6,1988,90777,
5,Fabrice,Morvan,Pop Singer,Paris,56,Taurus,May,14,1966,46900,
6,Fabrice,Gallina,Instagram Star,Italy,51,Sagittarius,December,4,1970,203014,
7,Fabrice,Camels,Dancer,France,41,Virgo,September,18,1980,173252,
8,Fabri,Salcedo,Soccer Player,Spain,,Gemini,May,28,1914,221070,Aug 25
9,Fabri,Lemus,YouTube Star,Uruguay,25,Libra,October,9,1996,90573,
10,Fabri,Fibra,Rapper,Italy,45,Libra,October,17,1976,70228,
11,Fabo,Fabo,Rapper,United States,38,Sagittarius,November,30,1983,52456,
12,Fablicia,Geandra,TikTok Star,Sao Paulo,27,Gemini,June,1,1994,219919,
13,Fabiula,Nascimento,Movie Actress,Curitiba,43,Leo,August,18,1978,203203,
14,Fabious,Fabious,TikTok Star,Sorocaba,17,Virgo,September,6,2004,219779,
15,Fabiola,Volkers,Model,Netherlands,22,Aries,April,12,2000,44616,
16,Fabiola-Victoria,Fabiola-Victoria,Instagram Star,Austria,29,Scorpio,November,19,1992,214127,
17,Fabiola,Roudha,Pop Singer,Guatemala City,29,Virgo,September,6,1992,210174,
18,Fabíola,Reipert,Journalist,Sao Paulo,49,Taurus,May,6,1973,210256,
19,Fabiola,Posada,Comedian,Santa Marta,58,Virgo,September,18,1963,202638,
20,Fabiola,Melo,YouTube Star,Brazil,28,Leo,August,13,1993,131699,
21,Fabiola,Martínez,TV Show Host,Mexico,34,Taurus,May,4,1988,119310,
22,Fabiola,Guajardo,Soap Opera Actress,Monterrey,35,Capricorn,January,5,1987,65639,
23,Fabiola,Osborne,Instagram Star,Maracaibo,49,Capricorn,December,28,1972,197808,
24,Fabiola,Silva,Skateboarder,Sao Paulo,42,Gemini,June,18,1979,209302,
25,Fabiola,Colmenares,TV Actress,Venezuela,47,Virgo,August,27,1974,221461,
26,Fabiola,Cimminella,Dancer,Italy,31,Leo,August,14,1990,106926,
27,Fabiola,Campomanes,Soap Opera Actress,Mexico,49,Leo,July,30,1972,74598,
28,Fabiola,Baglieri,TikTok Star,Rome,18,Leo,July,25,2003,2225,
29,Fabiola,Angulo,TV Show Host,Venezuela,45,Pisces,March,13,1977,189287,
30,Fabio,Fabio,Model,Milan,63,Pisces,March,15,1959,31106,
31,Fabio,Wibmer,Cyclist,Austria,26,Cancer,June,30,1995,22908,
